col_id	spec_id	individual	genus	tribe	growth_form	sepals	staminodes	staminode_shape	ligules	ligule_shape	no_stamens	no_stamens_after_fusion	no_thecae_per_stamen	no_thecae_per_whorl	filament_condition	no_petals	no_staminodes	no_sepals	col_loc	otherCatalogNumbers	living_collection
AYEEUP_MDC_NP_2023_11-04_V7	AYEEUP_MDC_NP_231104_V7_multi_2_7_01	AYEEUP_MDC_NP_2023_11-04_V7	Ayenia	Byttnerieae	herb	sepal-like	petal-like	tongue	staminode-like	tubular	5	5	3	3	semi-sessile	5	5	5	NP	NA	N
AYEEUP_MDC_NP_2023_11-04_V7	AYEEUP_MDC_NP_231104_V7_multi_2_7_02	AYEEUP_MDC_NP_2023_11-04_V7	Ayenia	Byttnerieae	herb	sepal-like	petal-like	tongue	staminode-like	tubular	5	5	3	3	semi-sessile	5	5	5	NP	NA	N
AYEEUP_MDC_QRP_2023-11-01_V2	AYEEUP_MDC_QRP_231101_V2_multi_2_7_01	AYEEUP_MDC_QRP_2023-11-01_V2	Ayenia	Byttnerieae	herb	sepal-like	petal-like	tongue	staminode-like	tubular	5	5	3	3	semi-sessile	5	5	5	QRP	NA	N
AYEEUP_MDC_DE_2023-08-21_V3E	AYEEUP_MDC_DE_230821_V3E_multi_D_F_4_F01	AYEEUP_MDC_DE_2023-08-21_V3E	Ayenia	Byttnerieae	herb	sepal-like	petal-like	tongue	staminode-like	tubular	5	5	3	3	semi-sessile	5	5	5	DE	NA	N
AYEEUP_MDC_DEN_2023-08-21_V6D	AYEEUP_MDC_DEN_230821_V6D_multi_D_F_4_D01	AYEEUP_MDC_DEN_2023-08-21_V6D	Ayenia	Byttnerieae	herb	sepal-like	petal-like	tongue	staminode-like	tubular	5	5	3	3	semi-sessile	5	5	5	DEN	NA	N
AYEEUP_MDC_DEN_2023-08-21_V6D	AYEEUP_MDC_DEN_230821_V6D_multi_D_F_4_D02	AYEEUP_MDC_DEN_2023-08-21_V6D	Ayenia	Byttnerieae	herb	sepal-like	petal-like	tongue	staminode-like	tubular	5	5	3	3	semi-sessile	5	5	5	TP	NA	N
AYEEUP_MDC_TP_2023-10-30_V4	AYEEUP_MDC_TP_231030_V4_multi_D_F_4_401	AYEEUP_MDC_TP_2023-10-30_V4	Ayenia	Byttnerieae	herb	sepal-like	petal-like	tongue	staminode-like	tubular	5	5	3	3	semi-sessile	5	5	5	TP	NA	N
AYEEUP_MDC_TP_2023-10-30_V4	AYEEUP_MDC_TP_231030_V4_multi_D_F_4_402	AYEEUP_MDC_TP_2023-10-30_V4	Ayenia	Byttnerieae	herb	sepal-like	petal-like	tongue	staminode-like	tubular	5	5	3	3	semi-sessile	5	5	5	TP	NA	N
AYEEUP_MDC_TP_2023-10-30_V4	AYEEUP_MDC_TP_231030_V4_multi_D_F_4_403	AYEEUP_MDC_TP_2023-10-30_V4	Ayenia	Byttnerieae	herb	sepal-like	petal-like	tongue	staminode-like	tubular	5	5	3	3	semi-sessile	5	5	5	TP	NA	N
AYEEUP_UM_PRVL_2022-06-14	AYEEUP_UM_PRVL_220614_multi_01	AYEEUP_UM_PRVL_2022-06-14	Ayenia	Byttnerieae	herb	sepal-like	petal-like	tongue	staminode-like	tubular	5	5	3	3	semi-sessile	5	5	5	PRVL	NA	N
BYTMIC_FBG_XP_2022-02-17	bytmic_fbg_XP_220217_02	2015-0018_B	Byttneria	Byttnerieae	shrub	sepal-like	reduced	triangular	staminode-like	tubular	5	5	2	2	semi-sessile	5	5	5	FBG	2015-0018 B	Y
